country,region,year,earthquakeDeaths
Belgium,Europe,1977,0
Bolivia,Americas,1977,0
Brazil,Americas,1977,0
Bulgaria,Europe,1977,20
Burundi,Africa,1977,0
Chile,Americas,1977,0
China,Asia,1977,0
Colombia,Americas,1977,0
"Congo, Dem. Rep.",Africa,1977,0
"Congo, Rep.",Africa,1977,0
Costa Rica,Americas,1977,0
Croatia,Europe,1977,0
Cuba,Americas,1977,0
Cyprus,Europe,1977,0
Dominica,Americas,1977,0
Dominican Republic,Americas,1977,0
Ecuador,Americas,1977,0
Egypt,Africa,1977,0
El Salvador,Americas,1977,0
Fiji,Asia,1977,0
Georgia,Europe,1977,0
Germany,Europe,1977,0
Greece,Europe,1977,0
Guatemala,Americas,1977,0
Guinea,Africa,1977,0
Honduras,Americas,1977,0
Iceland,Europe,1977,0
India,Asia,1977,0
Indonesia,Asia,1977,187
Iran,Asia,1977,1110
Iraq,Asia,1977,0
Italy,Europe,1977,0
Japan,Asia,1977,0
Kazakhstan,Asia,1977,0
Kenya,Africa,1977,0
Kyrgyz Republic,Asia,1977,0
Malawi,Africa,1977,0
Mexico,Americas,1977,0
Morocco,Africa,1977,0
Mozambique,Africa,1977,0
Myanmar,Asia,1977,0
Nepal,Asia,1977,0
Netherlands,Europe,1977,0
New Zealand,Asia,1977,0
Nicaragua,Americas,1977,0
North Korea,Asia,1977,0
Pakistan,Asia,1977,0
Panama,Americas,1977,0
Papua New Guinea,Asia,1977,0
Peru,Americas,1977,0
Philippines,Asia,1977,1
Poland,Europe,1977,0
Romania,Europe,1977,1640
Russia,Europe,1977,0
Rwanda,Africa,1977,0
Slovenia,Europe,1977,0
Solomon Islands,Asia,1977,34
South Africa,Africa,1977,0
Spain,Europe,1977,0
St. Lucia,Americas,1977,0
Sudan,Africa,1977,0
Tajikistan,Asia,1977,0
Tanzania,Africa,1977,0
Thailand,Asia,1977,0
Tonga,Asia,1977,1
Trinidad and Tobago,Americas,1977,0
Turkey,Europe,1977,30
Turkmenistan,Asia,1977,0
Uganda,Africa,1977,0
United Kingdom,Europe,1977,0
United States,Americas,1977,0
Uzbekistan,Asia,1977,0
Vanuatu,Asia,1977,0
Venezuela,Americas,1977,0
Yemen,Asia,1977,0
Afghanistan,Asia,1978,0
Albania,Europe,1978,0
Algeria,Africa,1978,0
Argentina,Americas,1978,0
Armenia,Europe,1978,0
Australia,Asia,1978,0
Austria,Europe,1978,0
Azerbaijan,Europe,1978,0
Bangladesh,Asia,1978,0
Barbados,Americas,1978,0
Belgium,Europe,1978,0
Bolivia,Americas,1978,0
Brazil,Americas,1978,0
Bulgaria,Europe,1978,0
Burundi,Africa,1978,0
Chile,Americas,1978,0
China,Asia,1978,0
Colombia,Americas,1978,0
"Congo, Dem. Rep.",Africa,1978,0
"Congo, Rep.",Africa,1978,0
Costa Rica,Americas,1978,0
Croatia,Europe,1978,0
Cuba,Americas,1978,0
